"YEAR","JURISDICTION","AGE_GROUP","Mean(FINES)"
2023,"ACT","0-16",2
2023,"ACT","17-25",7
2023,"ACT","26-39",9
2023,"ACT","40-64",7
2023,"ACT","65 and over",1
2023,"NSW","0-16",2
2023,"NSW","17-25",86
2023,"NSW","26-39",105
2023,"NSW","40-64",86
2023,"NSW","65 and over",11
2023,"NT","17-25",3
2023,"NT","26-39",7
2023,"NT","40-64",5
2023,"NT","65 and over",1
2023,"SA","0-16",2
2023,"SA","17-25",116
2023,"SA","26-39",189
2023,"SA","40-64",150
2023,"SA","65 and over",25
2023,"TAS","17-25",26
2023,"TAS","26-39",60
2023,"TAS","40-64",49
2023,"TAS","65 and over",8
2023,"VIC","0-16",1
2023,"VIC","17-25",91
2023,"VIC","26-39",239
2023,"VIC","40-64",221
2023,"VIC","65 and over",37
2023,"WA","17-25",59
2023,"WA","26-39",126
2023,"WA","40-64",102
2023,"WA","65 and over",12
2024,"ACT","0-16",1
2024,"ACT","17-25",159
2024,"ACT","26-39",472
2024,"ACT","40-64",504
2024,"ACT","65 and over",88
2024,"NSW","0-16",2
2024,"NSW","17-25",99
2024,"NSW","26-39",98
2024,"NSW","40-64",72
2024,"NSW","65 and over",11
2024,"NT","0-16",1
2024,"NT","17-25",4
2024,"NT","26-39",9
2024,"NT","40-64",6
2024,"NT","65 and over",2
2024,"QLD","0-16",150
2024,"QLD","17-25",435
2024,"QLD","26-39",1217
2024,"QLD","40-64",1229
2024,"QLD","65 and over",158
2024,"SA","0-16",1
2024,"SA","17-25",25
2024,"SA","26-39",34
2024,"SA","40-64",27
2024,"SA","65 and over",7
2024,"TAS","17-25",21
2024,"TAS","26-39",47
2024,"TAS","40-64",43
2024,"TAS","65 and over",7
2024,"VIC","0-16",1
2024,"VIC","17-25",147
2024,"VIC","26-39",489
2024,"VIC","40-64",598
2024,"VIC","65 and over",90
2024,"WA","0-16",1
2024,"WA","17-25",67
2024,"WA","26-39",150
2024,"WA","40-64",103
2024,"WA","65 and over",13
