"YEAR","JURISDICTION","AGE_GROUP","Mean(FINES)"
2023,"ACT","0-16",2
2023,"ACT","17-25",133
2023,"ACT","26-39",280
2023,"ACT","40-64",464
2023,"ACT","65 and over",221
2023,"NSW","0-16",3
2023,"NSW","17-25",234
2023,"NSW","26-39",305
2023,"NSW","40-64",310
2023,"NSW","65 and over",71
2023,"NT","0-16",2
2023,"NT","17-25",82
2023,"NT","26-39",207
2023,"NT","40-64",251
2023,"NT","65 and over",74
2023,"SA","0-16",2
2023,"SA","17-25",374
2023,"SA","26-39",846
2023,"SA","40-64",1309
2023,"SA","65 and over",407
2023,"TAS","0-16",2
2023,"TAS","17-25",148
2023,"TAS","26-39",316
2023,"TAS","40-64",399
2023,"TAS","65 and over",150
2023,"VIC","0-16",2
2023,"VIC","17-25",339
2023,"VIC","26-39",1050
2023,"VIC","40-64",1610
2023,"VIC","65 and over",525
2023,"WA","0-16",2
2023,"WA","17-25",1016
2023,"WA","26-39",2596
2023,"WA","40-64",3915
2023,"WA","65 and over",958
2024,"ACT","0-16",2
2024,"ACT","17-25",166
2024,"ACT","26-39",384
2024,"ACT","40-64",536
2024,"ACT","65 and over",196
2024,"NSW","0-16",3
2024,"NSW","17-25",245
2024,"NSW","26-39",295
2024,"NSW","40-64",289
2024,"NSW","65 and over",72
2024,"NT","0-16",2
2024,"NT","17-25",90
2024,"NT","26-39",231
2024,"NT","40-64",285
2024,"NT","65 and over",83
2024,"QLD","0-16",267
2024,"QLD","17-25",1510
2024,"QLD","26-39",3042
2024,"QLD","40-64",3971
2024,"QLD","65 and over",962
2024,"SA","0-16",1
2024,"SA","17-25",95
2024,"SA","26-39",192
2024,"SA","40-64",284
2024,"SA","65 and over",97
2024,"TAS","0-16",1
2024,"TAS","17-25",138
2024,"TAS","26-39",300
2024,"TAS","40-64",395
2024,"TAS","65 and over",165
2024,"VIC","0-16",3
2024,"VIC","17-25",507
2024,"VIC","26-39",1448
2024,"VIC","40-64",2189
2024,"VIC","65 and over",657
2024,"WA","0-16",29
2024,"WA","17-25",760
2024,"WA","26-39",1872
2024,"WA","40-64",2789
2024,"WA","65 and over",727
