"YEAR","JURISDICTION","Police+Sum(Count*(FINES))","Camera+Sum(Count*(FINES))","Other+Sum(Count*(FINES))"
2008,"ACT",1,0,0
2008,"NSW",1,1,0
2008,"NT",1,1,0
2008,"QLD",1,1,0
2008,"SA",1,1,0
2008,"TAS",1,1,0
2008,"VIC",1,1,0
2008,"WA",1,1,0
2009,"ACT",1,0,0
2009,"NSW",1,1,0
2009,"NT",1,1,0
2009,"QLD",1,1,0
2009,"SA",1,1,0
2009,"TAS",1,1,0
2009,"VIC",1,1,0
2009,"WA",1,1,0
2010,"ACT",1,1,0
2010,"NSW",1,1,0
2010,"NT",1,1,0
2010,"QLD",1,1,0
2010,"SA",1,1,0
2010,"TAS",1,1,0
2010,"VIC",1,1,0
2010,"WA",1,1,0
2011,"ACT",1,1,0
2011,"NSW",1,1,0
2011,"NT",1,1,0
2011,"QLD",1,1,0
2011,"SA",1,1,0
2011,"TAS",1,1,0
2011,"VIC",1,1,0
2011,"WA",1,1,0
2012,"ACT",1,1,0
2012,"NSW",1,1,0
2012,"NT",1,1,0
2012,"QLD",1,1,0
2012,"SA",1,1,0
2012,"TAS",1,1,0
2012,"VIC",1,1,0
2012,"WA",1,1,0
2013,"ACT",1,1,0
2013,"NSW",1,1,0
2013,"NT",1,1,0
2013,"QLD",1,1,0
2013,"SA",1,1,0
2013,"TAS",1,1,0
2013,"VIC",1,1,0
2013,"WA",1,1,0
2014,"ACT",1,1,0
2014,"NSW",1,1,0
2014,"NT",1,1,0
2014,"QLD",1,1,0
2014,"SA",1,1,0
2014,"TAS",1,1,0
2014,"VIC",1,1,0
2014,"WA",1,1,0
2015,"ACT",1,1,0
2015,"NSW",1,1,0
2015,"NT",1,1,0
2015,"QLD",1,1,0
2015,"SA",1,1,0
2015,"TAS",1,1,0
2015,"VIC",1,1,0
2015,"WA",1,1,0
2016,"ACT",1,1,0
2016,"NSW",1,1,0
2016,"NT",1,1,0
2016,"QLD",1,1,0
2016,"SA",1,1,0
2016,"TAS",1,1,0
2016,"VIC",1,1,0
2016,"WA",1,1,0
2017,"ACT",1,1,0
2017,"NSW",3,2,0
2017,"NT",1,1,0
2017,"QLD",1,1,0
2017,"SA",1,1,0
2017,"TAS",1,1,0
2017,"VIC",1,1,0
2017,"WA",3,1,0
2018,"ACT",2,1,0
2018,"NSW",3,2,0
2018,"NT",3,1,0
2018,"QLD",3,1,0
2018,"SA",2,1,0
2018,"TAS",1,1,0
2018,"VIC",2,1,0
2018,"WA",3,1,0
2019,"ACT",2,1,0
2019,"NSW",3,2,0
2019,"NT",3,1,0
2019,"QLD",3,1,0
2019,"SA",2,1,0
2019,"TAS",1,1,0
2019,"VIC",2,1,0
2019,"WA",3,1,0
2020,"ACT",2,1,0
2020,"NSW",3,3,0
2020,"NT",3,1,0
2020,"QLD",3,1,0
2020,"SA",2,1,0
2020,"TAS",3,1,0
2020,"VIC",2,1,0
2020,"WA",3,1,0
2021,"ACT",2,1,0
2021,"NSW",3,3,0
2021,"NT",3,1,0
2021,"QLD",3,3,0
2021,"SA",2,1,0
2021,"TAS",3,1,0
2021,"VIC",2,1,0
2021,"WA",3,1,0
2022,"ACT",2,0,0
2022,"NSW",3,3,0
2022,"NT",3,1,0
2022,"QLD",3,3,0
2022,"SA",3,1,0
2022,"TAS",3,1,0
2022,"VIC",3,1,0
2022,"WA",3,1,0
2023,"ACT",196,138,0
2023,"NSW",1049,48,0
2023,"NT",219,137,0
2023,"QLD",4,5,0
2023,"SA",288,144,72
2023,"TAS",226,104,0
2023,"VIC",869,595,0
2023,"WA",211,255,140
2024,"ACT",124,191,50
2024,"NSW",802,54,317
2024,"NT",153,139,108
2024,"QLD",172,288,64
2024,"SA",784,443,183
2024,"TAS",155,166,59
2024,"VIC",185,2159,63
2024,"WA",140,167,196
