"Year=YEAR","JURISDICTION","Licence_Holders","Sum(FINES)","Rate_per_10000_Holders"
2008,"NSW",4642256,40882,88.06494083910927
2008,"VIC",3818617,49739,130.25396367323563
2008,"QLD",2921109,28499,97.56226145617983
2008,"SA",1097758,11411,103.94822902679826
2008,"WA",1469629,15957,108.57842353410282
2008,"TAS",355805,6780,190.5538145894521
2008,"NT",125550,671,53.44484269215452
2008,"ACT",263035,2060,78.31657383998326
2009,"NSW",4721039,41167,87.19902546875805
2009,"VIC",3937287,53101,134.8669782009795
2009,"QLD",3048522,33352,109.40383569480555
2009,"SA",1112003,14167,127.40073542967059
2009,"WA",1516035,14804,97.64946059952442
2009,"TAS",359548,5665,157.55893510741265
2009,"NT",131466,1106,84.12821566032282
2009,"ACT",268984,1890,70.26440234363382
2010,"NSW",4791490,51104,106.65575843839807
2010,"VIC",3978322,54728,137.5655364246534
2010,"QLD",3132341,33013,105.39401680723778
2010,"SA",1124998,14139,125.68022343150832
2010,"WA",1566463,11705,74.72247987983118
2010,"TAS",363291,3735,102.8101439342015
2010,"NT",134791,998,74.04055166887997
2010,"ACT",276137,2407,87.16687731090002
2011,"NSW",4893688,46714,95.45765892717313
2011,"VIC",4060582,52630,129.61196202908843
2011,"QLD",3240939,30389,93.76603509044755
2011,"SA",1138713,13402,117.69427414985164
2011,"WA",1605793,10485,65.29484186317913
2011,"TAS",367655,3241,88.1532958888088
2011,"NT",135957,729,53.61989452547497
2011,"ACT",283287,2284,80.6249492564078
2012,"NSW",4984973,42900,86.05864063857518
2012,"VIC",4135725,61497,148.69702410097383
2012,"QLD",3301004,28548,86.48277917869837
2012,"SA",1151821,11623,100.90977677955169
2012,"WA",1650934,17822,107.95101439548765
2012,"TAS",366918,2141,58.35091219291504
2012,"NT",140973,722,51.21548097862711
2012,"ACT",291241,1722,59.12629059782105
2013,"NSW",5060762,33514,66.22322883391868
2013,"VIC",4216265,52452,124.40394519794178
2013,"QLD",3374824,27998,82.96136331850194
2013,"SA",1183292,12560,106.14455265479695
2013,"WA",1705854,14563,85.37072926522433
2013,"TAS",366806,2914,79.44253910786628
2013,"NT",146147,1058,72.39286471839996
2013,"ACT",297595,1356,45.56528167475932
2014,"NSW",5142396,34952,67.96831671462097
2014,"VIC",4310687,41448,96.15172709129658
2014,"QLD",3384271,25068,74.07208228891835
2014,"SA",1196554,11886,99.33525774850112
2014,"WA",1745523,14377,82.36499891436549
2014,"TAS",368562,3256,88.34334521735828
2014,"NT",150350,517,34.38643165946126
2014,"ACT",303057,1115,36.79175864606328
2015,"NSW",5245755,37989,72.4185555749363
2015,"VIC",4384609,33598,76.62712912371434
2015,"QLD",3432171,23048,67.15283125461988
2015,"SA",1206194,12446,103.18406491824697
2015,"WA",1777515,16666,93.76010891609917
2015,"TAS",372402,3273,87.88889425942934
2015,"NT",151911,492,32.38738471868396
2015,"ACT",309044,873,28.24840475789855
2016,"NSW",5337950,38918,72.90813889227137
2016,"VIC",4469781,27925,62.47509665462357
2016,"QLD",3505706,17213,49.099953047973784
2016,"SA",1219238,11153,91.47516727661048
2016,"WA",1805895,14926,82.65153843385136
2016,"TAS",378224,3191,84.36799356994797
2016,"NT",154112,535,34.71501245847176
2016,"ACT",315332,1120,35.518120584019385
2017,"NSW",5415357,41020,75.74754536035205
2017,"VIC",4556755,29293,64.28478160445317
2017,"QLD",3579100,15043,42.030119303735574
2017,"SA",1233594,11252,91.21315440898708
2017,"WA",1858974,16718,89.93132771087707
2017,"TAS",381182,2738,71.82920494671836
2017,"NT",156866,546,34.806777759361495
2017,"ACT",321188,1299,40.44360312340436
2018,"NSW",5501390,37653,68.44270266241804
2018,"VIC",4642873,32458,69.90929969439182
2018,"QLD",3658288,12828,35.06558258945168
2018,"SA",1248208,8471,67.86529168215554
2018,"WA",1913212,17697,92.49889714260625
2018,"TAS",384212,2614,68.0353554808283
2018,"NT",159738,861,53.90076249859144
2018,"ACT",328280,1399,42.616059461435356
2019,"NSW",5586539,25463,45.579203868441624
2019,"VIC",4728500,36694,77.60177646188008
2019,"QLD",3737229,11580,30.985524301561398
2019,"SA",1262593,7567,59.9322188543735
2019,"WA",1969260,11850,60.174888029005814
